radius,s_spread,circular_s,log-spiral-in_s,log-spiral-out_s,perturbed_s
1.8942445140974153,0.04772680127869067,0.6767765664815966,0.7008354904654329,0.6531086891867423,0.6734450735814198
1.9135150874634912,0.04776686533659158,0.6757606783835648,0.6998402551805673,0.6520733898439757,0.672428699430405
1.9327856608295668,0.047809243897204645,0.6747525377781272,0.6988538981328904,0.6510446542356858,0.671419752267263
1.9520562341956427,0.047853810322088575,0.6737526265344431,0.6978768106007395,0.6500230002786509,0.6704187771231224
1.9713268075617183,0.04790027385523865,0.6727613616183156,0.6969093231985534,0.6490090493433147,0.6694261918046699
1.9905973809277941,0.047948590463050555,0.6717791014070897,0.6959517124622577,0.6480031219992072,0.6684423476421679
2.00986795429387,0.04799862435753466,0.6708061513459684,0.6950042063681192,0.6470055820105846,0.6674675675143044
2.0291385276599456,0.04805017033124914,0.6698427691565654,0.6940669897338657,0.6460168194026166,0.6665021259581252
2.0484091010260217,0.04810324159349355,0.6688891695247425,0.6931403487306388,0.6450371071371452,0.6655462539701777
2.0676796743920973,0.0481576679732334,0.6679455283793406,0.6922242883862111,0.6440666204129777,0.6646001431370933
2.086950247758173,0.04821331456753297,0.6670119868476775,0.6913188725991347,0.6431055580316017,0.6636639494981089
2.1062208211242486,0.04827006881345586,0.6660886547572336,0.6904241538537076,0.6421540850402517,0.6627377971339514
2.1254913944903246,0.04832789011969951,0.6651756137871943,0.6895403028789507,0.6412124127592512,0.6618217813415131
2.1447619678564003,0.048386683733861346,0.6642729205225105,0.6886672653197311,0.6402805815858698,0.6609159714997408
2.164032541222476,0.048446304583098954,0.6633806089707547,0.6878049601242174,0.6393586555411185,0.6600204138086172
2.183303114588552,0.0485067207045744,0.662498693004212,0.6869534138822195,0.6384466931776451,0.6591351336134414
2.2025736879546276,0.048567989706111425,0.6616271685529327,0.6861127224547233,0.6375447327486119,0.658260137661536
