time,t_over_h,radius_spread,s_spread,circular_radius,circular_s,log-spiral-in_radius,log-spiral-in_s,log-spiral-out_radius,log-spiral-out_s,perturbed_radius,perturbed_s
0,0,2.220446049250313e-16,7.771561172376096e-16,1.0000000000000002,0.7499999999999989,1,0.7499999999999993,1.0000000000000002,0.7499999999999992,1.0000000000000002,0.7499999999999997
1,0.25,0.02737536984379685,0.022827369144703957,1.1756502931712862,0.8667053065972277,1.1619659900072052,0.878190048292031,1.189341359851002,0.855362679147327,1.1785650972269819,0.8655562716441788
2,0.5,0.01971127312698573,0.027909370312735327,1.6696619616477317,0.8610506961650058,1.6600447389358004,0.8751084597049532,1.6797560120627861,0.8471990893922179,1.673193646636852,0.8598413966212407
3,0.75,0.004189834627374545,0.027808309442327594,2.320177040702294,0.8353312179727758,2.322773014217913,0.8493340354031799,2.3185831795905383,0.8215257259608523,2.3225221340346422,0.8341315574888124
4,1,0.03296054192709441,0.028350190142596987,3.0349782934592855,0.818986827177855,3.0521759912298467,0.8332740780865647,3.0192154493027523,0.8049238879439677,3.0359510363080706,0.8177882204764945
5,1.25,0.0633863521313307,0.02906378067081894,3.77905562310836,0.8093071317925821,3.81164720211943,0.823960464671297,3.748260849988099,0.7948966840004781,3.778633096830101,0.8080901029147028
6,1.5,0.09452225665441372,0.029701167243995963,4.53798856642246,0.8031786160262666,4.5863083030492655,0.8181549879493554,4.491786046394852,0.7884538207053594,4.536175449498158,0.8019404570969367
7,1.75,0.12604511574881183,0.030225704819465182,5.305155332557075,0.7990114947419888,5.369384308719376,0.8142516621422732,5.243339192970565,0.784025957322808,5.301959295370204,0.7977543949386675
8,2,0.1578228734367002,0.03065196566809336,6.077199027442321,0.7960085287128726,6.157456810893777,0.8114619241077472,5.999633937457077,0.7808099584396538,6.0726261813736135,0.794735411390125
