time,t_over_h,radius_spread,s_spread,circular_radius,circular_s,log-spiral-in_radius,log-spiral-in_s,log-spiral-out_radius,log-spiral-out_s,perturbed_radius,perturbed_s
0,0,2.220446049250313e-16,3.3306690738754696e-16,1,0.4999999999999998,1,0.4999999999999996,1.0000000000000002,0.4999999999999998,1.0000000000000002,0.49999999999999944
1,0.25,0.03428248763132613,0.02752066557936461,1.0197910860900379,0.6153353457918341,1.0025794833665205,0.6291311778213984,1.0368619709978466,0.6016105122420338,1.0231766911815088,0.6120195688617824
2,0.5,0.03801595169739125,0.04694251030106744,1.1532412538794565,0.6886571520339714,1.1344298464744034,0.712429637924451,1.1724457981717946,0.6654871276233836,1.1569676412318453,0.6850403878421261
3,0.75,0.0020492632433979363,0.048197916794396334,1.447579742130117,0.6993187649441782,1.447803095110867,0.7235563793531304,1.4494415983707978,0.6753584625587341,1.4473923351273998,0.6958395174061095
4,1,0.055704174102867654,0.044703446767590194,1.8646628809640358,0.678349783286811,1.8942445140974355,0.7008354904654319,1.838540339994568,0.6561320436978417,1.8595305252824184,0.6752927895845238
5,1.25,0.11813257025542079,0.044243314901963426,2.3513421971627215,0.6552448966958232,2.412501939381053,0.677629003480154,2.2943693691256324,0.6333856885781906,2.341265558739713,0.6522637891740424
6,1.5,0.18057669695272338,0.045575764501671,2.874496891554304,0.6371294743328932,2.967080306430602,0.6602692061189163,2.7865036094778786,0.6146934416172453,2.859690291518192,0.6340512350686952
7,1.75,0.2421747896511368,0.047370093271701164,3.417046553304681,0.623658487491537,3.540573650309246,0.6477337700954966,3.2983988606581094,0.6003636768237954,3.397698793071308,0.6204422251607807
8,2,0.3030567778835369,0.04911433978848112,3.9702602634059034,0.61353342488293,4.124358628588529,0.6384887988543754,3.821301850704992,0.5893744590658943,3.946500872882703,0.6101835329720722
