time,cycles,relative_tilt_rms,angle_im,angle_mo,angle_oi,maximum_radius,maximum_speed
0,0,0.00081649658092776357,0.002000000000000092,0.001,0.0010000000000000922,0.99999999999999989,0.78116970296435839
0.01,0.0012432701962040509,0.00081865353150514602,0.0020052777387490881,0.00099900198450658282,0.0010062796168271901,1.0000025383803985,0.78234645694798688
0.02,0.0024865403924081019,0.00082078763624684862,0.0020104887151394563,0.00099803383869790578,0.0010124695933468933,1.0000102817292196,0.78352095847730852
0.029999999999999999,0.0037298105886121521,0.00082289516665860556,0.0020156247669395077,0.00099710316611366107,0.0010185529798773434,1.0000234224623574,0.78469302208132841
0.040000000000000001,0.0049730807848162037,0.00082497450157770907,0.0020206828738852777,0.00099621155173120791,0.0010245240952093517,1.0000421531122343,0.78586246376780411
0.050000000000000003,0.0062163509810202544,0.00082701928033680641,0.0020256485788449257,0.00099536304401114171,0.0010303631670822149,1.0000666662855711,0.78702910260131553
0.060000000000000005,0.0074596211772243052,0.00082902594936339654,0.0020305138880600815,0.00099454655211839898,0.0010360727428735221,1.0000971547200697,0.78819275230730901
0.070000000000000007,0.0087028913734283567,0.00083099355883643636,0.002035277577277411,0.00099377032026701142,0.0010416421590147965,1.0001338111664659,0.78935322610997016
0.080000000000000002,0.0099461615696324075,0.00083292196305157049,0.0020399401608726555,0.0009930360036880673,0.0010470695317127772,1.000176828399254,0.79051033395867243
0.089999999999999997,0.011189431765836456,0.00083480761937713651,0.0020444938882980355,0.00099234573041732835,0.0010523443088483815,1.00022639912136,0.7916638804860987
0.099999999999999992,0.012432701962040507,0.00083664512083007035,0.0020489266061060724,0.00099170401475989485,0.001057449021834444,1.0002827159316849,0.79281368244864125
0.10999999999999999,0.013675972158244558,0.00083843684616006521,0.002053244556483631,0.0009911035998994241,0.001062397077615649,1.0003459714372489,0.7939595529717135
0.11999999999999998,0.014919242354448607,0.00084017518473403056,0.0020574302258728485,0.00099055073766478861,0.001067164078838068,1.0004163581467833,0.79510129857901901
0.12999999999999998,0.016162512550652659,0.00084185121959093996,0.0020614626379744524,0.0009900423047486573,0.0010717319209504555,1.0004940684978747,0.79623873494549136
0.13999999999999999,0.01740578274685671,0.00084348195734535564,0.002065384120990315,0.0009895940775274106,0.0010761265287075252,1.0005792947194185,0.79737165598555559
0.14999999999999999,0.018649052943060761,0.00084505115669389862,0.0020691557094283789,0.00098919854146940398,0.0010803166260694166,1.0006722287903864,0.7984998798519376
0.16,0.019892323139264815,0.00084656096168414822,0.002072782880826509,0.0009888524418136457,0.0010843113639080141,1.0007730625638525,0.79962321376305889
0.17000000000000001,0.021135593335468866,0.00084800059707021544,0.0020762404998103863,0.00098856465874414337,0.0010880764753050081,1.000881987714292,0.80074146849544114
0.18000000000000002,0.022378863531672916,0.00084938104834784154,0.0020795559365620561,0.00098834823025125665,0.0010916264792047796,1.0009991955410151,0.80185443648200716
0.19000000000000003,0.023622133727876971,0.00085068578815405071,0.0020826887673749033,0.00098818330373960932,0.0010949420295002764,1.0011248770853087,0.80296193517357684
0.20000000000000004,0.024865403924081021,0.00085192630326594624,0.0020856675530788885,0.00098808665879257995,0.0010980352674288139,1.0012592230150454,0.80406376147082026
0.21000000000000005,0.026108674120285072,0.00085309480294529141,0.0020884736532718671,0.00098805957599210569,0.0011008872599816699,1.0014024236151224,0.80515972261001367
0.22000000000000006,0.027351944316489126,0.00085418654673074276,0.0020910957412556405,0.00098810532995739818,0.0011034846475390708,1.0015546688742449,0.80624962885719176
0.23000000000000007,0.028595214512693177,0.00085520511524567915,0.0020935422436313771,0.00098822358107664501,0.0011058377504029832,1.0017161482933861,0.80733327809731115
0.24000000000000007,0.029838484708897228,0.00085614257708383954,0.0020957941018385248,0.00098842046891092468,0.0011079228628377441,1.0018870509015301,0.80841047238442987
0.25000000000000006,0.031081754905101278,0.00085699946417175767,0.0020978523719419858,0.00098870425300487202,0.00110973513053502,1.0020675653452376,0.80948102338751016
0.26000000000000006,0.032325025101305332,0.00085777832381263167,0.0020997227734888819,0.00098907994776654008,0.0011112776460649103,1.0022578796973303,0.81054472901220886
0.27000000000000007,0.033568295297509383,0.00085847982839852143,0.002101406402322435,0.00098955938548275627,0.0011125429864889112,1.002458181443018,0.81160139120177377
0.28000000000000008,0.034811565493713434,0.00085909402307774406,0.002102878047154711,0.00099013576768578219,0.0011135160280549207,1.0026686575584169,0.81265081996830391
0.29000000000000009,0.036054835689917485,0.00085962718724192473,0.0021041522089104378,0.00099081907785922903,0.0011142042658761806,1.00288949437526,0.81369280917147702
0.3000000000000001,0.037298105886121535,0.00086007370575954146,0.0021052135295178171,0.00099160416907255987,0.001114602252403792,1.0031208775654086,0.81472717422097074
0.31000000000000011,0.038541376082325586,0.00086044231653453383,0.0021060821581858069,0.00099251685513669272,0.0011147094042802434,1.0033629921592118,0.81575370446418538
0.32000000000000012,0.039784646278529644,0.00086072389173799256,0.0021067337706410188,0.00099356419062174815,0.0011145014935082787,1.0036160224650594,0.81677221157517887
0.33000000000000013,0.041027916474733694,0.00086092601029823398,0.002107184658906509,0.00099474904365132242,0.0011139970872027234,1.0038801520736857,0.81778249557419502
