time,t_over_h,radius_spread,s_spread,relative_s_spread,circular_radius,circular_s,perturbed_radius,perturbed_s
0,0,0,3.3306690738754696e-16,1.3322676295501882e-15,3.7101819613481504,0.2499999999999996,3.7101819613481504,0.24999999999999994
2.5,0.25,0.002057283389001352,0.000578373353448014,0.0022214145451266874,3.7116268971023083,0.2603626390746574,3.7136841804913097,0.2597842657212094
5,0.5,0.006942878632349547,0.0011998680331732903,0.004439009271381639,3.721858973328578,0.2703008621560802,3.7288018519609274,0.2691009941229069
7.5,0.75,0.009832800278363862,0.001229340705248827,0.004400290344395861,3.749705789379846,0.27937717946600854,3.75953858965821,0.2781478387607597
10,1,0.01050237851860425,0.0013786214612700465,0.004801326511594064,3.8034326181369082,0.28713345321152456,3.8139349966555125,0.2857548317502545
12.5,1.25,0.010064584732903725,0.0014755938667041502,0.005034759534976011,3.89018490379824,0.2930812994053312,3.9002494885311436,0.291605705538627
15,1.5,0.008543178452510958,0.0015001595674816182,0.005052885442874385,4.015178421742584,0.2968916640683303,4.023721600195095,0.29539150450084867
17.5,1.75,0.005946903380821489,0.0014602319153733112,0.0048924071289338684,4.181111041896914,0.29846901063025766,4.1870579452777354,0.29700877871488435
20,2,0.0024153315210613258,0.0013733967822598392,0.004609428742604528,4.388060707141512,0.29795379404950084,4.390476038662573,0.296580397267241
22.5,2.25,0.001843261640110505,0.0012600476659302973,0.00426173691638224,4.6338653421392815,0.29566528639687667,4.632022080499171,0.2944052387309464
25,2.5,0.0066062778050479665,0.0011393743618367536,0.0039018052146604742,4.9148060525037485,0.2920121070000413,4.9081997746987005,0.29087273263820457
27.5,2.75,0.011674418285904764,0.0010256501209396918,0.0035686208389779962,5.226351590429445,0.28740798398560713,5.21467717214354,0.28638233386466744
30,3,0.0168898063821592,0.0009272089216525448,0.0032854586770181076,5.5637798382040105,0.2822159743290646,5.546890031821851,0.28128876540741204
32.5,3.25,0.022139291155508722,0.000847431584196312,0.0030623683487097223,5.9225998777626625,0.27672424989415895,5.900460586607154,0.27587681830996263
35,3.5,0.027348893976978594,0.0007863951702256067,0.002900278567915235,6.2987835504316205,0.2711447027624245,6.271434656454642,0.2703583075921989
37.5,3.75,0.032474933398186856,0.0007423724073228333,0.0027948299960184773,6.6888549095035055,0.26562345773460966,6.656379976105319,0.2648810853272868
40,4,0.03749522936898764,0.0007128889847848319,0.002739192004098975,7.089890718502127,0.26025520800223284,7.052395489133139,0.259542319017448
42.5,4.25,0.042401862747039054,0.0006953535432823732,0.002725840485794693,7.499473946183494,0.2550969313524043,7.457072083436455,0.2544015778091219
45,4.5,0.04719580082770669,0.0006873775241156566,0.002747540624789008,7.915627953092331,0.25017920314406356,7.868432152264624,0.2494918256199479
47.5,4.75,0.05188316698138529,0.0006869033308446459,0.002797808302456068,8.336747377470402,0.24551479464895606,8.284864210489017,0.24482789131811142
50,5,0.05647277575830678,0.0006922278607122967,0.002871065267174086,8.76153380778018,0.2411048848755843,8.705061032021874,0.240412657014872
52.5,5.25,0.0609745709671774,0.0007019760142698006,0.002962631673053386,9.18893956964159,0.23694339753895932,9.127964998674413,0.23624142152468952
55,5.5,0.06539867693060586,0.0007150550032221648,0.00306864279670212,9.618120364437177,0.2330199539648722,9.55272168750657,0.23230489896165005
57.5,5.75,0.06975485201201082,0.000730605299820497,0.003185938559546038,10.048396234931529,0.22932184226572166,9.978641382919518,0.22859123696590117
60,6,0.07405219848942757,0.0007479554375489916,0.0033119508913544886,10.479219819895638,0.225835304352324,10.40516762140621,0.225087348914775
