time,cycles,relative_tilt_rms,angle_im,angle_mo,angle_oi,maximum_radius,maximum_speed
0,0,0.00040824829046381749,0.0004999999999999999,0.00099999999999988856,0.00049999999999988855,1,0.78116970296435784
0.01,0.0016576935949387346,0.00040762609409059482,0.00050466113242007978,0.00099845363497346991,0.00049380033767175327,1.0000024826694596,0.78235329885485305
0.02,0.0033153871898774692,0.00040702787397238325,0.00050946111160274799,0.00099691947692507926,0.00048748963476798472,1.0000100595850332,0.78353464875188339
0.029999999999999999,0.0049730807848162037,0.00040645559725543436,0.00051440068056569325,0.00099539944166488902,0.00048106887680375354,1.00002292434981,0.78471358119537094
0.040000000000000001,0.0066307743797549383,0.00040591159109787774,0.00051946967899472215,0.00099389662837451971,0.0004745510750165658,1.0000412706578374,0.78588990539304626
0.050000000000000003,0.0082884679746936737,0.00040539473102423138,0.00052466596704600036,0.0009924055745119658,0.00046793246326915649,1.000065292386501,0.78706343406141466
0.060000000000000005,0.0099461615696324075,0.00040490733292253826,0.0005299885521183685,0.00099092928330111823,0.00046121667837340451,1.0000951834091258,0.78823398011854995
0.070000000000000007,0.011603855164571143,0.00040444800160831137,0.00053544448128313362,0.0009894609718295829,0.00045438955394474405,1.0001311376120092,0.78940135103442477
0.080000000000000002,0.013261548759509877,0.00040402586807955477,0.00054101772942827969,0.00098802158324233784,0.00044748774976362515,1.0001733489856004,0.79056536536097111
0.089999999999999997,0.01491924235444861,0.0004036386563363305,0.00054672195794477094,0.00098660170799139677,0.00044048797315077761,1.0002220114933049,0.7917258311226496
0.099999999999999992,0.016576935949387344,0.00040328365594162962,0.00055254833589593849,0.00098519216099518915,0.00043338909395493433,1.0002773190836076,0.79288255632314697
0.10249999999999999,0.016991359348122029,0.00040320100619218072,0.00055402222453606979,0.00098484392666154308,0.0004316031480277459,1.0002922070021882,0.79317113412639784
0.105,0.017405782746856713,0.00040312069622186421,0.00055550557515967659,0.00098449675468576252,0.00042980967588145786,1.000307525388004,0.79345946175468263
0.1075,0.017820206145591395,0.00040304199081234832,0.00055699609203604581,0.00098414895221227063,0.00042800912436289485,1.0003232772611992,0.79374753587885549
0.11,0.018234629544326079,0.00040296625825169216,0.000558493700113004,0.0009838039704248595,0.00042620509419139213,1.0003394656495679,0.79403535669176151
0.1125,0.018649052943060764,0.00040289335816521161,0.00055999884492548106,0.00098346137252763302,0.00042439668343539747,1.0003560935885141,0.794322920946825
0.115,0.019063476341795449,0.00040282265343760367,0.00056151008457435152,0.00098311963315927541,0.00042258374663571975,1.0003731641019835,0.79461022294003469
0.11750000000000001,0.019477899740530134,0.00040275375269758059,0.00056302750674840551,0.00098277770991083107,0.00042076509759597668,1.000390680213717,0.7948972609253474
